prompt,context,output
"Extract the target person's education history as JSON.
Target person: Joyce Nakatumba Nabende
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science (thesis: \""Resource-aware business process management: analysis and support\"")"", ""university"": ""Eindhoven University of Technology, Netherlands"", ""year"": ""2013 (thesis dated 7 November 2013)"", ""country"": ""Netherlands""}"
"Extract the target person's education history as JSON.
Target person: Joëlle Barral
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Baccalauréat"", ""field"": ""Maths"", ""university"": ""Lycée Hoche"", ""year"": ""2001"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Joëlle Barral
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.S."", ""field"": ""Math and Physics"", ""university"": ""École Polytechnique"", ""year"": ""2004 (entered 2001 per La Jaune et la Rouge)"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Joëlle Barral
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.S."", ""field"": ""Electrical Engineering"", ""university"": ""Stanford University"", ""year"": ""Not stated (gap)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Joëlle Barral
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Electrical Engineering (high-resolution Magnetic Resonance Imaging)"", ""university"": ""Stanford University"", ""year"": ""2010"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Juho Kim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.S."", ""field"": ""Computer Science and Engineering"", ""university"": ""Seoul National University"", ""year"": ""2008"", ""country"": ""South Korea""}"
"Extract the target person's education history as JSON.
Target person: Juho Kim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.S."", ""field"": ""Computer Science"", ""university"": ""Stanford University"", ""year"": ""2010"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Juho Kim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Electrical Engineering and Computer Science (EECS)"", ""university"": ""MIT"", ""year"": ""2015"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Latifa Al-Abdulkarim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor's"", ""field"": ""Computer Science"", ""university"": ""King Saud University"", ""year"": ""2004"", ""country"": ""Saudi Arabia""}"
"Extract the target person's education history as JSON.
Target person: Latifa Al-Abdulkarim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Postgraduate / Master's (2009) — source conflict"", ""field"": ""(Computer) Software Engineering"", ""university"": ""University of Liverpool (per Wikipedia) vs King Saud University (per Saudipedia)"", ""year"": ""2009"", ""country"": ""UK / Saudi Arabia""}"
"Extract the target person's education history as JSON.
Target person: Latifa Al-Abdulkarim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MSc"", ""field"": ""Computer Science (Wikipedia) / Artificial Intelligence (Saudipedia)"", ""university"": ""University of Liverpool"", ""year"": ""2011"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Latifa Al-Abdulkarim
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Computer Science (AI and Law)"", ""university"": ""University of Liverpool"", ""year"": ""2017"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Leslie Teo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BA"", ""field"": ""Economics (Liberal Arts and Sciences)"", ""university"": ""University of Chicago"", ""year"": ""1992 (Jan 1989–Jan 1992 per ContactOut)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Leslie Teo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MA"", ""field"": ""Economics"", ""university"": ""University of Rochester"", ""year"": ""Not independently dated (subsumed into PhD dates elsewhere)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Leslie Teo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's"", ""field"": ""Information and Data Science"", ""university"": ""UC Berkeley"", ""year"": ""2018 (Jan 2016–Jan 2018 per ContactOut)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Leslie Teo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Economics and Finance"", ""university"": ""University of Rochester"", ""year"": ""1996 (Jan 1992–Jan 1996 per ContactOut)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Lior Rokach
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Industrial Engineering"", ""university"": ""Tel Aviv University"", ""year"": ""1998"", ""country"": ""Israel""}"
"Extract the target person's education history as JSON.
Target person: Lior Rokach
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MSc"", ""field"": ""Industrial Engineering"", ""university"": ""Tel Aviv University"", ""year"": ""1999"", ""country"": ""Israel""}"
"Extract the target person's education history as JSON.
Target person: Lior Rokach
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Industrial Engineering"", ""university"": ""Tel Aviv University"", ""year"": ""2004"", ""country"": ""Israel""}"
"Extract the target person's education history as JSON.
Target person: Loreto Bravo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ingeniero Civil Industrial (professional engineering degree)"", ""field"": ""Industrial Engineering"", ""university"": ""Pontificia Universidad Católica de Chile"", ""year"": ""Not stated (gap)"", ""country"": ""Chile""}"
"Extract the target person's education history as JSON.
Target person: Loreto Bravo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Carleton University"", ""year"": ""2007"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Maria Ressa
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BA (cum laude), with certificates in theater and dance"", ""field"": ""English"", ""university"": ""Princeton University"", ""year"": ""1986"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Maria Ressa
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Fulbright Fellowship (study of political theater; not a degree)"", ""field"": ""Political theater"", ""university"": ""University of the Philippines Diliman"", ""year"": ""Not dated"", ""country"": ""Philippines""}"
"Extract the target person's education history as JSON.
Target person: Maria Vanina Martinez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Licenciatura"", ""field"": ""Computer Science"", ""university"": ""Universidad Nacional del Sur (Bahía Blanca)"", ""year"": ""2005"", ""country"": ""Argentina""}"
"Extract the target person's education history as JSON.
Target person: Maria Vanina Martinez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""M.Sc."", ""field"": ""Computer Science"", ""university"": ""University of Maryland, College Park"", ""year"": ""2008"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Maria Vanina Martinez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""University of Maryland, College Park"", ""year"": ""2011"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Marietje Schaake
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Undergraduate"", ""field"": ""Sociology, American studies, new media"", ""university"": ""University of Amsterdam"", ""year"": ""—"", ""country"": ""Netherlands""}"
"Extract the target person's education history as JSON.
Target person: Marietje Schaake
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Undergraduate (study abroad)"", ""field"": ""Liberal arts"", ""university"": ""Wittenberg University"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Mark Coeckelbergh
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Licentiaat"", ""field"": ""Social Sciences and Political Sciences"", ""university"": ""University of Leuven"", ""year"": ""1997"", ""country"": ""Belgium""}"
"Extract the target person's education history as JSON.
Target person: Mark Coeckelbergh
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MA"", ""field"": ""Social Philosophy"", ""university"": ""University of East Anglia"", ""year"": ""1999"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Mark Coeckelbergh
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Philosophy"", ""university"": ""University of Birmingham"", ""year"": ""2003"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Martha Palmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BA"", ""field"": ""Philosophy"", ""university"": ""University of Texas at Austin"", ""year"": ""Not stated (gap)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Martha Palmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MA"", ""field"": ""Computer Science (and Psychology, per CU sources)"", ""university"": ""University of Texas at Austin"", ""year"": ""Conflicting: 1976 (Wikipedia) vs. 1972 (CU Boulder CS profile)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Martha Palmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Artificial Intelligence"", ""university"": ""University of Edinburgh"", ""year"": ""1985"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Maximilian Nickel
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD (Dr. rer. nat.)"", ""field"": ""Computer Science (Informatik) — thesis \""Tensor Factorization for Relational Learning\"""", ""university"": ""Ludwig-Maximilians-Universität München (LMU)"", ""year"": ""2013"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Melahat Bilge Demirkoz
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor of Science"", ""field"": ""Physics (with minors in Music and Mathematics)"", ""university"": ""MIT"", ""year"": ""2001"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Melahat Bilge Demirkoz
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's (Graduate degree) — new fact, not in the existing biography"", ""field"": ""Physics"", ""university"": ""MIT"", ""year"": ""2004"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Melahat Bilge Demirkoz
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Physics"", ""university"": ""University of Oxford"", ""year"": ""2007"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Mennatallah El-Assady
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BS"", ""field"": ""Information Engineering"", ""university"": ""University of Konstanz"", ""year"": ""Not stated (gap)"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Mennatallah El-Assady
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MS"", ""field"": ""Information Engineering"", ""university"": ""University of Konstanz"", ""year"": ""Not stated (gap)"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Mennatallah El-Assady
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science (thesis: \""Levels of Explainability for Human-AI Interaction in Visual Text Analytics\"")"", ""university"": ""University of Konstanz"", ""year"": ""2021 (inferred — \""since 2021, she has been...at the ETH AI Center\"")"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Mira Murati
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor of Arts"", ""field"": ""(dual-degree program)"", ""university"": ""Colby College"", ""year"": ""2011"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Mira Murati
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor of Engineering"", ""field"": ""Engineering"", ""university"": ""Dartmouth College"", ""year"": ""2012"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Mohamed Farahat
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor of Laws (LL.B.)"", ""field"": ""Law"", ""university"": ""Cairo University"", ""year"": ""—"", ""country"": ""Egypt""}"
"Extract the target person's education history as JSON.
Target person: Mohamed Farahat
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Master's"", ""field"": ""African Studies"", ""university"": ""Cairo University"", ""year"": ""—"", ""country"": ""Egypt""}"
"Extract the target person's education history as JSON.
Target person: Natasha Crampton
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor of Laws (Honours)"", ""field"": ""Law"", ""university"": ""University of Auckland"", ""year"": ""—"", ""country"": ""New Zealand""}"
"Extract the target person's education history as JSON.
Target person: Natasha Crampton
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor of Commerce"", ""field"": ""Commerce (majoring in Information Systems)"", ""university"": ""University of Auckland"", ""year"": ""—"", ""country"": ""New Zealand""}"
"Extract the target person's education history as JSON.
Target person: Nazneen Rajani
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""University of Texas at Austin"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Nighat Dad
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""LL.B. (Bachelor of Laws)"", ""field"": ""Law"", ""university"": ""University of the Punjab"", ""year"": ""—"", ""country"": ""Pakistan""}"
"Extract the target person's education history as JSON.
Target person: Nighat Dad
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""LL.M. (Master of Laws)"", ""field"": ""Law"", ""university"": ""University of the Punjab"", ""year"": ""—"", ""country"": ""Pakistan""}"
"Extract the target person's education history as JSON.
Target person: Omar Sultan Al Olama
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor's"", ""field"": ""Business Administration and Management"", ""university"": ""American University in Dubai"", ""year"": ""—"", ""country"": ""United Arab Emirates""}"
"Extract the target person's education history as JSON.
Target person: Omar Sultan Al Olama
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Diploma"", ""field"": ""Excellence and Project Management"", ""university"": ""American University of Sharjah"", ""year"": ""—"", ""country"": ""United Arab Emirates""}"
"Extract the target person's education history as JSON.
Target person: Paolo Benanti
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Licentiate (STL)"", ""field"": ""Moral Theology"", ""university"": ""Pontifical Gregorian University"", ""year"": ""2008"", ""country"": ""Italy (Holy See)""}"
"Extract the target person's education history as JSON.
Target person: Paolo Benanti
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Doctorate (STD)"", ""field"": ""Moral Theology"", ""university"": ""Pontifical Gregorian University"", ""year"": ""2012"", ""country"": ""Italy (Holy See)""}"
"Extract the target person's education history as JSON.
Target person: Petri Myllymaki
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""M.Sc."", ""field"": ""Computer Science"", ""university"": ""University of Helsinki"", ""year"": ""1991"", ""country"": ""Finland""}"
"Extract the target person's education history as JSON.
Target person: Petri Myllymaki
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Licentiate"", ""field"": ""Computer Science (Philosophy)"", ""university"": ""University of Helsinki"", ""year"": ""1994"", ""country"": ""Finland""}"
"Extract the target person's education history as JSON.
Target person: Petri Myllymaki
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""University of Helsinki"", ""year"": ""1995"", ""country"": ""Finland""}"
"Extract the target person's education history as JSON.
Target person: Petri Myllymaki
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Docent"", ""field"": ""Computer Science"", ""university"": ""University of Helsinki"", ""year"": ""1999"", ""country"": ""Finland""}"
"Extract the target person's education history as JSON.
Target person: Philip Thigo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Master's (Master of Global Management, MGM)"", ""field"": ""Global Management"", ""university"": ""Thunderbird School of Global Management, Arizona State University"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Piotr Sankowski
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Undergraduate (Studia informatyczne)"", ""field"": ""Computer Science"", ""university"": ""University of Warsaw"", ""year"": ""2002"", ""country"": ""Poland""}"
"Extract the target person's education history as JSON.
Target person: Piotr Sankowski
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science (thesis: \""Algebraic Graph Algorithms\"")"", ""university"": ""University of Warsaw"", ""year"": ""2005"", ""country"": ""Poland""}"
"Extract the target person's education history as JSON.
Target person: Piotr Sankowski
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD (2nd doctorate)"", ""field"": ""Physics (solid state theory)"", ""university"": ""Polish Academy of Sciences"", ""year"": ""2009"", ""country"": ""Poland""}"
"Extract the target person's education history as JSON.
Target person: Piotr Sankowski
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Habilitation"", ""field"": ""Computer Science (thesis: \""Polynomial Matrices and Graph Algorithms\"")"", ""university"": ""University of Warsaw"", ""year"": ""2009"", ""country"": ""Poland""}"
"Extract the target person's education history as JSON.
Target person: Qinghua Lu
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""University of New South Wales"", ""year"": ""2013"", ""country"": ""Australia""}"
"Extract the target person's education history as JSON.
Target person: Rahaf Harfoush
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA"", ""field"": ""Business Administration and Management"", ""university"": ""Ivey Business School, Western University (London, Ontario)"", ""year"": ""—"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Ran Balicer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MD, Ph.D., MPH (credentials)"", ""field"": ""Medicine / Public Health / Epidemiology"", ""university"": ""Ben-Gurion University of the Negev (affiliation; not explicitly stated as the granting institution)"", ""year"": ""—"", ""country"": ""Israel""}"
"Extract the target person's education history as JSON.
Target person: Rita Orji
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Computer Science"", ""university"": ""Nnamdi Azikiwe University"", ""year"": ""Not stated (gap)"", ""country"": ""Nigeria""}"
"Extract the target person's education history as JSON.
Target person: Rita Orji
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MSc"", ""field"": ""Information Systems"", ""university"": ""Middle East Technical University"", ""year"": ""2009"", ""country"": ""Turkey""}"
"Extract the target person's education history as JSON.
Target person: Rita Orji
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""University of Saskatchewan"", ""year"": ""2014"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Román Orús
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD (with special honours; also holds the underlying undergraduate degree from the same university)"", ""field"": ""Physics"", ""university"": ""University of Barcelona"", ""year"": ""2006"", ""country"": ""Spain""}"
"Extract the target person's education history as JSON.
Target person: Seydina Moussa Ndiaye
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Doctorate (implied)"", ""field"": ""Computer Science (Informatique)"", ""university"": ""Not verifiable in gathered sources"", ""year"": ""—"", ""country"": ""—""}"
"Extract the target person's education history as JSON.
Target person: Sharad Sharma
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BE (Bachelor of Engineering)"", ""field"": ""Electrical Engineering"", ""university"": ""Delhi College of Engineering"", ""year"": ""1982–1986"", ""country"": ""India""}"
"Extract the target person's education history as JSON.
Target person: Silvio Savarese
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Laurea (magna cum laude)"", ""field"": ""Electrical Engineering"", ""university"": ""University of Naples Federico II"", ""year"": ""1999"", ""country"": ""Italy""}"
"Extract the target person's education history as JSON.
Target person: Silvio Savarese
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Electrical Engineering (dissertation: \""3D Object Reconstruction from Shadows and Reflections\"")"", ""university"": ""California Institute of Technology"", ""year"": ""2005"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Sonia Livingstone
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc (First Class Honours)"", ""field"": ""Psychology"", ""university"": ""University College London"", ""year"": ""1982"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Sonia Livingstone
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""DPhil"", ""field"": ""Psychology (thesis: \""Social Knowledge and Programme Structure in Representations of Television Characters,\"" supervised by Michael Argyle)"", ""university"": ""University of Oxford"", ""year"": ""1987"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Tegawendé Bissyandé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Engineering (Telecom Software Engineer)"", ""field"": ""Telecommunications"", ""university"": ""ENSEIRB"", ""year"": ""2009 (June)"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Tegawendé Bissyandé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master of Science"", ""field"": ""Software Engineering"", ""university"": ""University of Bordeaux"", ""year"": ""2009 (September)"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Tegawendé Bissyandé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""University of Bordeaux"", ""year"": ""2013 (March)"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Teresa Ludermir
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Computer Science"", ""university"": ""UFPE"", ""year"": ""1983 (inferred from \""Distinction Magna cum Laude in Computer Science, UFPE (1983)\"")"", ""country"": ""Brazil""}"
"Extract the target person's education history as JSON.
Target person: Teresa Ludermir
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MSc — likely a single degree described two different ways, not two separate Master's"", ""field"": ""Computer Science (per one source) / Artificial Intelligence (per another)"", ""university"": ""UFPE"", ""year"": ""Not stated (gap)"", ""country"": ""Brazil""}"
"Extract the target person's education history as JSON.
Target person: Teresa Ludermir
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD — likely a single degree described three different ways, not two separate PhDs"", ""field"": ""\""Artificial Intelligence\"" (per cin.ufpe.br) / \""Neural Networks\"" (per ai.cin.ufpe.br) / \""Computer Science\"" (per CORE Academy)"", ""university"": ""Imperial College (of Science, Technology and Medicine) London"", ""year"": ""1990"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Tuka Alhanai
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.Sc."", ""field"": ""Electrical Engineering"", ""university"": ""Petroleum Institute (Abu Dhabi)"", ""year"": ""Not stated (gap)"", ""country"": ""UAE""}"
"Extract the target person's education history as JSON.
Target person: Tuka Alhanai
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MS — new fact, missing from the existing biography entirely"", ""field"": ""Electrical Engineering and Computer Science"", ""university"": ""MIT"", ""year"": ""Not stated (gap)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Tuka Alhanai
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Electrical Engineering and Computer Science"", ""university"": ""MIT"", ""year"": ""2019"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Vilas Dhar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA + BS"", ""field"": ""Biomedical Engineering; Computer Science"", ""university"": ""University of Illinois Urbana–Champaign"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Vilas Dhar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Master (MPA)"", ""field"": ""Public Administration"", ""university"": ""Harvard Kennedy School"", ""year"": ""2016"", ""country"": ""USA""}"
